AgentID,C4,C5,experiment,in_degree,max_od
38,0.0,0.05,7,0,5
39,0.0,0.05,7,18,5
40,0.0,0.05,7,14,5
41,0.0,0.05,7,9,5
42,0.0,0.05,7,13,5
43,0.0,0.05,7,0,5
44,0.0,0.05,7,0,5
45,0.0,0.05,7,4,5
46,0.0,0.05,7,1,5
47,0.0,0.05,7,8,5
48,0.0,0.05,7,0,5
49,0.0,0.05,7,0,5
0,0.0,0.05,8,0,6
1,0.0,0.05,8,5,6
2,0.0,0.05,8,7,6
3,0.0,0.05,8,6,6
4,0.0,0.05,8,1,6
5,0.0,0.05,8,3,6
6,0.0,0.05,8,28,6
7,0.0,0.05,8,4,6
8,0.0,0.05,8,2,6
9,0.0,0.05,8,0,6
10,0.0,0.05,8,19,6
11,0.0,0.05,8,2,6
12,0.0,0.05,8,1,6
13,0.0,0.05,8,0,6
14,0.0,0.05,8,0,6
15,0.0,0.05,8,1,6
16,0.0,0.05,8,0,6
17,0.0,0.05,8,1,6
18,0.0,0.05,8,4,6
19,0.0,0.05,8,7,6
20,0.0,0.05,8,4,6
21,0.0,0.05,8,19,6
22,0.0,0.05,8,1,6
23,0.0,0.05,8,2,6
24,0.0,0.05,8,0,6
25,0.0,0.05,8,3,6
26,0.0,0.05,8,19,6
27,0.0,0.05,8,0,6
28,0.0,0.05,8,0,6
29,0.0,0.05,8,1,6
30,0.0,0.05,8,3,6
31,0.0,0.05,8,8,6
32,0.0,0.05,8,0,6
33,0.0,0.05,8,40,6
34,0.0,0.05,8,1,6
35,0.0,0.05,8,10,6
36,0.0,0.05,8,14,6
37,0.0,0.05,8,14,6
38,0.0,0.05,8,1,6
39,0.0,0.05,8,2,6
40,0.0,0.05,8,0,6
41,0.0,0.05,8,2,6
42,0.0,0.05,8,0,6
43,0.0,0.05,8,20,6
44,0.0,0.05,8,32,6
45,0.0,0.05,8,1,6
46,0.0,0.05,8,1,6
47,0.0,0.05,8,4,6
48,0.0,0.05,8,7,6
49,0.0,0.05,8,0,6
0,0.0,0.05,9,0,7
1,0.0,0.05,9,5,7
2,0.0,0.05,9,0,7
3,0.0,0.05,9,0,7
4,0.0,0.05,9,32,7
5,0.0,0.05,9,15,7
6,0.0,0.05,9,26,7
7,0.0,0.05,9,14,7
8,0.0,0.05,9,4,7
9,0.0,0.05,9,9,7
10,0.0,0.05,9,12,7
11,0.0,0.05,9,0,7
12,0.0,0.05,9,8,7
13,0.0,0.05,9,6,7
14,0.0,0.05,9,0,7
15,0.0,0.05,9,3,7
16,0.0,0.05,9,2,7
17,0.0,0.05,9,1,7
18,0.0,0.05,9,0,7
19,0.0,0.05,9,2,7
20,0.0,0.05,9,18,7
21,0.0,0.05,9,2,7
22,0.0,0.05,9,0,7
23,0.0,0.05,9,5,7
24,0.0,0.05,9,23,7
25,0.0,0.05,9,15,7
26,0.0,0.05,9,0,7
27,0.0,0.05,9,7,7
28,0.0,0.05,9,0,7
29,0.0,0.05,9,13,7
30,0.0,0.05,9,18,7
31,0.0,0.05,9,2,7
32,0.0,0.05,9,7,7
33,0.0,0.05,9,2,7
34,0.0,0.05,9,21,7
35,0.0,0.05,9,3,7
36,0.0,0.05,9,1,7
37,0.0,0.05,9,2,7
38,0.0,0.05,9,0,7
39,0.0,0.05,9,2,7
40,0.0,0.05,9,0,7
41,0.0,0.05,9,2,7
42,0.0,0.05,9,27,7
43,0.0,0.05,9,1,7
44,0.0,0.05,9,0,7
45,0.0,0.05,9,3,7
46,0.0,0.05,9,0,7
47,0.0,0.05,9,35,7
48,0.0,0.05,9,1,7
49,0.0,0.05,9,1,7
0,0.0,0.05,10,33,8
1,0.0,0.05,10,1,8
2,0.0,0.05,10,0,8
3,0.0,0.05,10,3,8
4,0.0,0.05,10,1,8
5,0.0,0.05,10,4,8
6,0.0,0.05,10,0,8
